table,column,sqlite_type,is_pk,total_rows,non_null,missing,missing_pct,unique,min,max,mean,std,avg_len,most_common,most_common_pct,pct_true,json_parseable_pct,json_nonempty_pct
plant_library,harvest_method,VARCHAR(100),False,9381,0,9381,100.0,0,,,,,,,,,,
plant_library,fruiting_season,VARCHAR(50),False,9381,0,9381,100.0,0,,,,,,,,,,
plant_library,pruning_months,TEXT,False,9381,0,9381,100.0,0,,,,,,,,,,
plant_library,usda_fdc_id,INTEGER,False,9381,3729,5652,60.2,674,167515.0,2747674.0,721015.59,979897.01,,173946.0,2.2,,,
plant_library,genus,VARCHAR(100),False,9381,8723,658,7.0,2240,,,,,8.1,Rubus,1.8,,,
plant_library,edible,BOOLEAN,False,9381,7385,1996,21.3,2,,,,,,0.0,95.5,,,
plant_library_image,id,INTEGER,True,23692,23692,0,0.0,23692,1.0,23692.0,11846.5,6839.44,,,,,,
plant_library_image,plant_library_id,INTEGER,False,23692,23692,0,0.0,8707,1.0,9381.0,4482.2,2594.48,,244,0.0,,,
plant_library_image,filename,VARCHAR(200),False,23692,23692,0,0.0,23692,,,,,19.9,8833_wikimedia_1.jpg,0.0,,,
plant_library_image,source,VARCHAR(30),False,23692,23692,0,0.0,3,,,,,9.0,wikimedia,97.3,,,
plant_library_image,source_url,TEXT,False,23692,23692,0,0.0,23690,,,,,159.3,https://upload.wikimedia.org/…,0.0,,,
plant_library_image,attribution,TEXT,False,23692,23258,434,1.8,6677,,,,,39.6,"Krzysztof Ziarnek, Kenraiz / …",6.8,,,
plant_library_image,file_hash,VARCHAR(64),False,23692,23692,0,0.0,23692,,,,,64.0,2f928f0d650344c9ec59cc5bb0e33…,0.0,,,
plant_library_image,is_primary,BOOLEAN,False,23692,23692,0,0.0,2,,,,,,0,63.2,,,
plant_library_image,created_at,DATETIME,False,23692,23692,0,0.0,23692,,,,,,2026-03-25 20:34:38.198375,0.0,,,
task,id,INTEGER,True,0,0,0,0.0,0,,,,,,,,,,
task,title,VARCHAR(200),False,0,0,0,0.0,0,,,,,,,,,,
task,description,TEXT,False,0,0,0,0.0,0,,,,,,,,,,
task,due_date,DATE,False,0,0,0,0.0,0,,,,,,,,,,
task,completed,BOOLEAN,False,0,0,0,0.0,0,,,,,,,,,,
task,completed_date,DATE,False,0,0,0,0.0,0,,,,,,,,,,
task,task_type,VARCHAR(30),False,0,0,0,0.0,0,,,,,,,,,,
task,plant_id,INTEGER,False,0,0,0,0.0,0,,,,,,,,,,
task,garden_id,INTEGER,False,0,0,0,0.0,0,,,,,,,,,,
task,bed_id,INTEGER,False,0,0,0,0.0,0,,,,,,,,,,
weather_log,id,INTEGER,True,19,19,0,0.0,19,1.0,19.0,10.0,5.63,,,,,,
weather_log,garden_id,INTEGER,False,19,19,0,0.0,1,,,,,,1,100.0,100.0,,
weather_log,date,DATE,False,19,19,0,0.0,19,,,,,,2026-03-25,5.3,,,
weather_log,rainfall_in,FLOAT,False,19,19,0,0.0,7,0.0,0.52,0.07,0.16,,0.0,68.4,,,
weather_log,temp_high_f,FLOAT,False,19,19,0,0.0,19,45.7,80.8,63.11,10.43,,53.7,5.3,,,
weather_log,temp_low_f,FLOAT,False,19,19,0,0.0,18,26.9,62.1,41.95,9.8,,37.8,10.5,,,
weather_log,source,VARCHAR(10),False,19,19,0,0.0,1,,,,,3.0,api,100.0,,,
